Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Passed,Parent Education Level_Associate,Parent Education Level_Bachelor,Parent Education Level_Doctorate,Parent Education Level_High School,Parent Education Level_Master
S00001,0.5043155361186223,-7.148721584047355e-16,0.594287556819332,1.0,1.0,False,False,False,False,True
S00002,-0.13172984304977978,1.007284163627766,-0.3008836194434756,0.0,0.0,False,False,False,True,False
S00003,0.6434504628117103,-7.148721584047355e-16,-0.08952375838142386,0.0,0.0,True,False,False,False,False
S00004,1.5180128591682638,0.07664802698919546,-0.1889872224106248,1.0,0.0,False,True,False,False,False
S00005,-0.23111193354484263,0.705456227420662,0.45130882727735594,0.0,0.0,False,False,False,False,True
S00006,-0.23111193354484263,-0.07426594111435653,0.23994896621530376,1.0,1.0,False,False,False,True,False
S00007,1.577642113465301,-1.8449898335293662,1.7505503261587914,0.0,1.0,False,False,True,False,False
S00008,0.762708971405786,1.0324364916450246,-0.3879141504690262,1.0,0.0,False,False,True,False,False
S00009,-0.449752532633981,1.248746512593449,1.6448703956277662,0.0,1.0,False,True,False,False,False
S00010,0.5440683723166474,-1.8550507647362697,-1.7182379818595879,1.0,,False,False,False,True,False
S00011,-0.449752532633981,-1.0652676649943476,0.4264429612700554,0.0,0.0,False,False,False,False,True
S00012,-0.449752532633981,2.023438215525016,-1.5068781207975357,1.0,0.0,False,False,False,False,True
S00013,0.24592210083145882,0.21750106388584384,-0.9846949346442314,1.0,,False,True,False,False,False
S00014,-1.900731053861899,-0.008869888269484146,-0.9349632026296312,,1.0,False,False,False,False,False
S00015,-1.701966872871773,-0.44148993016633287,-1.0095608006515315,0.0,1.0,True,False,False,False,False
S00016,-0.5491346231290439,-1.0501762681839926,-0.5930575450292532,1.0,0.0,False,False,False,True,False
S00017,-1.006292239406333,-0.21008851240755347,2.024074852239094,1.0,0.0,False,False,False,True,False
S00018,0.32542777322750915,0.9670404388001523,-0.8479326716040805,0.0,1.0,False,True,False,False,False
S00019,-0.8870337308122577,-0.02899175068329065,-1.5317439868048364,0.0,0.0,False,False,True,False,False
S00020,-1.4038206013865844,0.5998164497481759,0.43265942777188093,0.0,1.0,True,False,False,False,False
S00021,1.458383604871226,1.761854004145526,0.19643370070252822,0.0,1.0,False,True,False,False,False
S00022,-0.21123551544583014,-0.5974343638733367,2.0365077852427445,0.0,0.0,False,False,True,False,False
S00023,0.06703433794034594,0.2929580479376198,-0.0646578923741233,0.0,0.0,False,False,False,True,False
S00024,-1.4038206013865844,0.9972232324208624,-2.1596071034891664,0.0,1.0,False,True,False,False,False
S00025,-0.5292582050300314,-0.9545974217184098,-0.4252129494799766,1.0,1.0,False,False,False,True,False
S00026,0.12666359223738344,-7.148721584047355e-16,-0.44386234898545207,0.0,1.0,False,False,True,False,False
S00027,-1.145427166099421,1.8674937818180126,-1.1774053962008082,,1.0,False,False,False,True,False
S00028,0.385057027524547,-0.3559720149076533,-0.5495422795164777,1.0,0.0,False,False,False,True,False
S00029,-0.5888874593270691,1.0626192852657355,-0.16412135640332468,1.0,0.0,True,False,False,False,False
